label_index_08B,class_id,sample_count_total,sample_count_train_original,sample_count_test_original,arabic_label,english_label,final_user_output,arabic_label_needs_fix
479,0480,153,129,24,أمين عام,general secretary,أمين عام,False
480,0481,151,127,24,صحفي,journalist,صحفي,False
481,0482,150,126,24,رسام,draftsman,رسام,False
482,0483,149,125,24,خياط / تارزي,tailor,خياط / تارزي,False
483,0484,151,127,24,ضابط,policeman,ضابط,False
484,0485,150,126,24,طيار,pilot,طيار,False
485,0486,151,127,24,جندي,soldier,جندي,False
486,0487,151,127,24,حلاق,barber,حلاق,False
487,0488,151,127,24,صباغ,dyer,صباغ,False
488,0489,151,127,24,رجل إطفاء / دفاع مدني,fireman,رجل إطفاء / دفاع مدني,False
489,0490,151,127,24,نجار,carpenter,نجار,False
490,0491,151,127,24,معلم / مدرس,teacher,معلم / مدرس,False
491,0492,152,128,24,طباخ,chef,طباخ,False
492,0493,151,127,24,فلاح,farmer,فلاح,False
493,0494,151,127,24,موظف,agent,موظف,False
494,0495,148,124,24,أمين صندوق,treasurer,أمين صندوق,False
495,0496,150,126,24,صيدلي,pharmacist,صيدلي,False
496,0497,151,127,24,طبيب,doctor,طبيب,False
497,0498,150,126,24,ممرضة,nurse,ممرضة,False
498,0499,168,144,24,ممرض,orderly,ممرض,False
499,0500,147,123,24,محام,lawyer,محام,False
500,0501,149,125,24,انتقال,traveling,انتقال,False
501,0502,150,126,24,تعيين,appointment,تعيين,False
